年度/季度,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),0.51,0.96,-3.66,-9.8,0.22,2.88,2.27,4.72,2.43,4.84,0.23,-2.89,4.35,7.19,4.88,-9.39,-3.51,2.32,2.63,0.74,-1.72,2.58,9.41,17.15,17.71,25.17,13.56,4.59,17.7,15.84,21.17,29.71,24.01,23.42,21.24,23.14,17.96,19.07,23.01,16.19,20.23,22.94,22.53,24.05,
2374 佳能 (上市光電業),8.09,8.63,10.33,8.51,8.42,7.23,11.11,8.61,10.23,12.79,12.72,12.02,12.16,13.63,16.18,15.39,11.98,13.63,13.53,11.23,10.09,7.92,8.16,7.71,10.82,14.12,10.44,19.19,9.9,15.66,21.82,18.71,24.24,18.66,28.07,24.9,24.03,20.64,22.48,22.15,21.44,23.85,28.55,29.86,
2409 友達 (上市光電業),4.83,10.25,9.59,7.45,7.35,10.4,14.39,14.81,15.06,12.84,10.24,5.38,0.55,6.95,13.15,18.76,19.69,20.28,17.52,13.85,10.94,9.69,10.66,5.3,0.37,2.83,-0.39,-2.42,-0.66,2.7,10.59,16.95,22.02,28.74,27.67,18.92,14.34,2.74,-14.61,-8.71,-9.49,3.15,7.62,3.37,
3059 華晶科 (上市光電業),6.63,6.37,5.6,5.77,8.12,10.39,10.71,11.41,10.92,12.12,13.81,12.81,10.37,11.79,15.63,15.08,15.08,13.78,12.42,13.14,12.79,10.35,12.15,12.4,14.49,17.56,16.96,16.84,24.22,25.99,22.08,27,23,22.78,26.55,22.41,20.38,21.91,18.55,22.32,22.38,25.41,28.84,31.28,30.35
3149 正達 (上市光電業),12.21,-2.32,-2.12,-14.17,-3.45,-3.73,4.34,-9.57,-39.04,-69.9,-15.84,-22.2,-79.98,-48.74,-25.9,-20.75,-32.45,-1.07,0.1,2.18,2.9,3.16,2.38,-1.02,-2.36,-3.9,1.54,1.92,-7.08,-0.77,5.23,-2.17,3.81,4.23,1.08,-3.19,-3.15,-7.92,-7.36,-0.88,1.25,4.45,2.76,4.6,
3481 群創 (上市光電業),7.71,12.37,10.38,5.01,6.28,10.63,12.88,16,17.72,16.64,12.14,3.1,-7.16,2.33,11.77,22.15,23.65,24.9,20.33,14.13,13.56,8.82,10.06,6.18,1.46,3.71,1.86,-2.11,-1.77,2.77,9.29,20.43,25.8,33.1,28.86,15.19,12.27,1.19,-18.74,-14.95,-7.03,0.64,7.19,3.41,
3504 揚明光 (上市光電業),25.79,24.97,26.51,25.78,23.63,25.2,28.49,29.43,25.8,27.48,29.62,26.98,23.95,18.38,24.61,18.29,19.69,17.18,17.64,18.69,20.61,18.99,20.73,19.73,18.5,22.77,23.66,20.6,15.9,19.08,17.9,19.2,13.59,18.37,20.27,16.42,18.26,20.09,17.49,11.62,9.24,10.88,9.44,12.54,5.55
4934 太極 (上市光電業),-6.31,13.12,11.29,10.96,13.86,9.88,0.7,2.5,4.52,4.09,7.75,12.68,14.18,9.39,-27.18,-5.69,-13.66,-2.5,1.36,0.01,-26.78,-24.08,-51.45,-24.42,-4.69,3.27,4.6,-27.31,8.52,27.62,4.12,0.72,-10.28,-12.75,-26.4,-14.33,-7.78,7.02,12.25,9.82,14.45,14.3,22.57,-57.18,
6164 華興 (上市光電業),29.79,30.88,29.36,26.74,27.14,30.13,26.09,25.66,26.23,26.13,20.81,24.55,25.85,27.21,28.05,33.68,31.77,31.76,28.44,29.52,26.21,28.01,33.24,29.12,27.79,26.58,23.85,24.93,23.23,30.19,25.17,21.61,21.86,26.87,27.52,27.95,22.34,24.38,27.8,28.75,25.01,25.7,26.23,26.28,
6176 瑞儀 (上市光電業),13.05,11.03,14.74,17.35,13.51,13.24,13.59,14.08,10.2,8.89,14.91,13.05,9.99,9.73,18.03,13.11,14.56,15.57,13.77,14.11,12.45,13.91,17.7,16.51,16.79,17.19,19.79,18.57,12.91,20.47,20.85,19.13,17.68,18.63,18.57,19.28,18.22,17.95,21.38,21.13,17.71,20.67,20.77,20.9,19.52
